Age,Gender,Location_Geotag (city/town/pincode),Type_of_Institution,Course_Completion_Rate (%),Attendance_Rate (%),Scholarships_Awards (Yes/No),Current_Academic_Standing (GPA),Stipend_Allowance_Amount (₹/month),Allowance_Management_Pattern (₹),Internship_PartTime_Job_Income (₹/month),Education_Loan_History,Mobile_Recharge_Frequency (per month),Network_Diversity (no. of links),Language_Sentiment_Score,Daily_Mobile_Usage (hours/day),Ongoing_Certification_Courses,Achievement_Level,Student_Highlight,College_name,Median_Packages (LPA)
19,Female,Sholinganallur,Govt,81,74,Yes,7,9500,5500,3119,2x late,2,10,-0.97,2.87,2,2,Startup Founder,IIT M,12
25,Male,Tiruchirapalli,Private,81,74,Yes,9.98,8500,5500,3728,None,4,1,0.84,9.1,1,3,Startup Founder,Sathyabama,5.2
20,Male,Oragadam,Govt,55,69,Yes,8.97,13500,6500,2140,2x late,4,2,0.87,3.43,1,4,Innovator,NIT Trichy,9.2
22,Female,Thanjavur,Private,56,90,Yes,5.85,7000,7000,2240,2x late,4,6,0.3,7.54,3,2,Research Publication,VIT Vellore,10
18,Male,Siruseri,Online Platform,69,77,Yes,9.85,15000,5000,1781,1x late,5,3,0.7,3.37,3,3,Competition Winner,Distance Degree,0
21,Male,Pattukkottai,Online Platform,92,80,Yes,7.49,13000,5000,2383,2x late,2,5,-0.68,9.04,2,3,Innovator,Udemy,0
19,Male,Dindigul,Online Platform,76,61,No,7.37,11000,6500,1094,1x late,2,1,-0.44,4.81,1,0,None,Udemy,0
23,Male,Dindigul,Online Platform,94,93,Yes,7.87,14000,5500,3394,None,1,4,0.54,4.29,2,4,Research Publication,Coursera,0
18,Male,Sholinganallur,Online Platform,79,64,Yes,5.52,7500,6500,1366,1x late,1,2,-0.52,7.27,3,4,Innovator,Udemy,0
20,Female,Sriperumbudur,Private,99,79,No,7.67,6500,7000,4053,1x late,4,1,0.26,4.45,2,2,Research Publication,Sastra,7.6
21,Female,Chennai,Private,60,68,No,9.8,6000,6000,4335,1x late,2,4,-0.59,5.77,1,4,None,Sastra,7.6
25,Male,Padappai,Online Platform,70,81,Yes,9.14,5500,5500,2563,1x late,3,5,0.49,3.43,2,1,Research Publication,Coursera,0
22,Male,Thanjavur,Private,81,75,No,8.52,6500,5500,23,1x late,3,8,-0.7,6.75,3,4,Innovator,SNU Chennai,8.26
23,Female,Urapakkam,Online Platform,72,76,Yes,6.57,13000,6000,2090,None,3,10,-0.61,2.32,1,0,Innovator,Distance Degree,0
23,Male,Thanjavur,Online Platform,67,71,Yes,6.16,15000,5000,3660,None,2,6,-0.12,8.28,2,4,Research Publication,Distance Degree,0
18,Female,Kumbakonam,Online Platform,89,61,No,7.93,6500,5500,1385,2x late,5,4,-0.39,3.77,2,4,Competition Winner,Udemy,0
24,Female,Lalgudi,Online Platform,77,84,No,6.2,9000,6000,4256,2x late,2,8,-0.22,7.55,2,1,Patent Holder,Udemy,0
18,female,Vellore,Online Platform,61,61,Yes,8.77,10500,6000,1392,None,5,2,-0.87,2.6,1,1,Competition Winner,Coursera,0
18,Female,Vellore,Private,85,87,No,9.77,11500,6000,4878,2x late,5,10,-0.93,3.14,1,4,Competition Winner,SNU Chennai,8.26
22,Male,Pattukkottai,Govt,91,69,No,7.44,7000,6000,4372,None,4,1,0.14,2.24,2,2,None,IIT M,12
25,Female,Chennai,Private,94,94,No,9.81,5500,6500,1788,1x late,1,7,-0.69,6.12,3,2,Competition Winner,VIT Vellore,10
23,Male,Tambaram,Govt,57,77,No,6.98,7000,5000,2949,2x late,3,10,0.63,5.83,3,2,Social Impact Leader,IIT M,12
